Year,Month,Sector,Quantity,UNIT
2002,January,Residential,1023.390524,GWh
2002,February,Residential,1030.265559,GWh
2002,March,Residential,1178.362729,GWh
2002,April,Residential,1320.185453,GWh
2002,May,Residential,1301.261155,GWh
2002,June,Residential,1235.782642,GWh
2002,July,Residential,1267.547569,GWh
2002,August,Residential,1240.877977,GWh
2002,September,Residential,1177.145833,GWh
2002,October,Residential,1220.749968,GWh
2002,November,Residential,1175.127067,GWh
2002,December,Residential,1165.594852,GWh
2002,January,Business,448.4178325,GWh
2002,February,Business,452.6014343,GWh
2002,March,Business,518.0944385,GWh
2002,April,Business,552.700384,GWh
2002,May,Business,541.7813655,GWh
2002,June,Business,527.9929186,GWh
2002,July,Business,552.8826691,GWh
2002,August,Business,539.3948503,GWh
2002,September,Business,516.3062534,GWh
2002,October,Business,536.3665731,GWh
2002,November,Business,514.6879738,GWh
2002,December,Business,529.1415924,GWh
2002,January,Industrial,2854.238279,GWh
2002,February,Industrial,2798.097945,GWh
2002,March,Industrial,3218.589575,GWh
2002,April,Industrial,3079.809247,GWh
2002,May,Industrial,3300.992703,GWh
2002,June,Industrial,3234.780845,GWh
2002,July,Industrial,3318.33888,GWh
2002,August,Industrial,3305.495981,GWh
2002,September,Industrial,3233.084204,GWh
2002,October,Industrial,3354.398653,GWh
2002,November,Industrial,3259.95564,GWh
2002,December,Industrial,3160.871133,GWh
2002,January,Government & Non-Profit,166.600307,GWh
2002,February,Government & Non-Profit,168.814016,GWh
2002,March,Government & Non-Profit,197.447965,GWh
2002,April,Government & Non-Profit,193.686733,GWh
2002,May,Government & Non-Profit,203.15697,GWh
2002,June,Government & Non-Profit,220.092066,GWh
2002,July,Government & Non-Profit,230.600039,GWh
2002,August,Government & Non-Profit,216.208052,GWh
2002,September,Government & Non-Profit,218.172287,GWh
2002,October,Government & Non-Profit,211.390006,GWh
2002,November,Government & Non-Profit,195.881492,GWh
2002,December,Government & Non-Profit,199.430704,GWh
2002,January,Agriculture,19.36733,GWh
2002,February,Agriculture,25.541219,GWh
2002,March,Agriculture,24.229577,GWh
2002,April,Agriculture,23.081002,GWh
2002,May,Agriculture,14.897882,GWh
2002,June,Agriculture,13.931768,GWh
2002,July,Agriculture,23.056514,GWh
2002,August,Agriculture,17.182434,GWh
2002,September,Agriculture,5.487429,GWh
2002,October,Agriculture,13.532049,GWh
2002,November,Agriculture,2.669416,GWh
2002,December,Agriculture,9.154013,GWh
2002,January,Other,29.3183346,GWh
2002,February,Other,31.28357854,GWh
2002,March,Other,31.20438804,GWh
2002,April,Other,34.67181146,GWh
2002,May,Other,34.78195776,GWh
2002,June,Other,34.2504563,GWh
2002,July,Other,33.29585178,GWh
2002,August,Other,35.35003362,GWh
2002,September,Other,34.40633578,GWh
2002,October,Other,35.12226277,GWh
2002,November,Other,36.29129844,GWh
2002,December,Other,34.71963029,GWh
2002,January,Free of Charge,64.165814,GWh
2002,February,Free of Charge,61.151128,GWh
2002,March,Free of Charge,62.614641,GWh
2002,April,Free of Charge,63.852253,GWh
2002,May,Free of Charge,62.297518,GWh
2002,June,Free of Charge,61.068074,GWh
2002,July,Free of Charge,63.105199,GWh
2002,August,Free of Charge,64.724471,GWh
2002,September,Free of Charge,66.077207,GWh
2002,October,Free of Charge,67.94663,GWh
2002,November,Free of Charge,68.980856,GWh
2002,December,Free of Charge,72.110795,GWh
2003,January,Residential,1136.313059,GWh
2003,February,Residential,1061.599848,GWh
2003,March,Residential,1264.907651,GWh
2003,April,Residential,1377.514161,GWh
2003,May,Residential,1428.724398,GWh
2003,June,Residential,1341.76254,GWh
2003,July,Residential,1310.753622,GWh
2003,August,Residential,1352.668745,GWh
2003,September,Residential,1263.629291,GWh
2003,October,Residential,1341.670373,GWh
2003,November,Residential,1261.054131,GWh
2003,December,Residential,1190.173865,GWh
2003,January,Business,508.6392282,GWh
2003,February,Business,494.2527487,GWh
2003,March,Business,569.9018233,GWh
2003,April,Business,581.7857946,GWh
2003,May,Business,592.6642513,GWh
2003,June,Business,576.7484435,GWh
2003,July,Business,581.5190196,GWh
2003,August,Business,600.621251,GWh
2003,September,Business,561.2119152,GWh
2003,October,Business,578.1572479,GWh
2003,November,Business,572.1530176,GWh
2003,December,Business,536.7584305,GWh
2003,January,Industrial,3203.857184,GWh
2003,February,Industrial,3085.925155,GWh
2003,March,Industrial,3553.804672,GWh
2003,April,Industrial,3293.124409,GWh
2003,May,Industrial,3590.693161,GWh
2003,June,Industrial,3477.489838,GWh
2003,July,Industrial,3475.098809,GWh
2003,August,Industrial,3587.277924,GWh
2003,September,Industrial,3557.247965,GWh
2003,October,Industrial,3682.99511,GWh
2003,November,Industrial,3600.471329,GWh
2003,December,Industrial,3454.968197,GWh
2003,January,Government & Non-Profit,182.668567,GWh
2003,February,Government & Non-Profit,174.362724,GWh
2003,March,Government & Non-Profit,203.699068,GWh
2003,April,Government & Non-Profit,202.957972,GWh
2003,May,Government & Non-Profit,211.756128,GWh
