date,type,electricity_consumption_kWh
2003-03-01,Other,108944805.9
2003-04-01,Other,88450153.65
2003-05-01,Other,116512128.0
2003-06-01,Other,122786031.30000001
2003-07-01,Other,108717009.8
2003-08-01,Other,143235164.9
2003-09-01,Other,51893323.62
2003-10-01,Other,118860061.1
2003-11-01,Other,109440160.5
2003-12-01,Other,113889815.5
2003-01-01,Free of Charge,87684362.0
2003-02-01,Free of Charge,83875033.0
2003-03-01,Free of Charge,88267290.0
2003-04-01,Free of Charge,88265244.0
2003-05-01,Free of Charge,88506464.0
2003-06-01,Free of Charge,90095140.0
2003-07-01,Free of Charge,90385741.0
2003-08-01,Free of Charge,88253298.0
2003-09-01,Free of Charge,88418820.0
2003-10-01,Free of Charge,95623439.0
2003-11-01,Free of Charge,95443449.0
2003-12-01,Free of Charge,99055659.0
2004-01-01,Residential,1755013039.0
2004-02-01,Residential,1714705559.0
2004-03-01,Residential,2094390571.9999998
2004-04-01,Residential,2354507754.0
2004-05-01,Residential,2297726498.0
2004-06-01,Residential,2088728047.0
2004-07-01,Residential,2131091030.0
2004-08-01,Residential,2094954603.0000002
2004-09-01,Residential,2084941987.0000002
2004-10-01,Residential,2091881042.9999998
2004-11-01,Residential,2063229991.0000002
2004-12-01,Residential,1767152762.0
2004-01-01,Business,1643459922.0
2004-02-01,Business,1630440492.0
2004-03-01,Business,1888512182.0
2004-04-01,Business,1924152872.0
2004-05-01,Business,1944437329.0
2004-06-01,Business,1846862872.0
2004-07-01,Business,1944750144.0
2004-08-01,Business,1899142094.0
2004-09-01,Business,1893537594.0
2004-10-01,Business,1879105976.0
2004-11-01,Business,1880634815.0
2004-12-01,Business,1714967524.0
2004-01-01,Industrial,4659663251.0
2004-02-01,Industrial,4815626777.0
2004-03-01,Industrial,5271968226.0
2004-04-01,Industrial,4857234117.0
2004-05-01,Industrial,5348041613.0
2004-06-01,Industrial,5116308021.0
2004-07-01,Industrial,5336131695.0
2004-08-01,Industrial,5217590996.0
2004-09-01,Industrial,5293067062.0
2004-10-01,Industrial,5464454962.0
2004-11-01,Industrial,5227738918.0
2004-12-01,Industrial,5043822365.0
2004-01-01,Government & Non-Profit,273677472.0
2004-02-01,Government & Non-Profit,280416250.0
2004-03-01,Government & Non-Profit,314914573.0
2004-04-01,Government & Non-Profit,320117339.0
2004-05-01,Government & Non-Profit,326183651.0
2004-06-01,Government & Non-Profit,346461176.0
2004-07-01,Government & Non-Profit,340566135.0
2004-08-01,Government & Non-Profit,339519901.0
2004-09-01,Government & Non-Profit,347969974.0
2004-10-01,Government & Non-Profit,322459120.0
2004-11-01,Government & Non-Profit,319741012.0
2004-12-01,Government & Non-Profit,282446278.0
2004-01-01,Agriculture,27698104.0
2004-02-01,Agriculture,25495165.0
2004-03-01,Agriculture,33288955.0
2004-04-01,Agriculture,29415242.0
2004-05-01,Agriculture,16238015.0
2004-06-01,Agriculture,10102518.0
2004-07-01,Agriculture,20921656.0
2004-08-01,Agriculture,7716441.0
2004-09-01,Agriculture,10976238.0
2004-10-01,Agriculture,24203817.0
2004-11-01,Agriculture,22970197.0
2004-12-01,Agriculture,21735770.0
2004-01-01,Other,111074138.5
2004-02-01,Other,109306708.2
2004-03-01,Other,129868992.7
2004-04-01,Other,146712131.0
2004-05-01,Other,139177244.3
2004-06-01,Other,150672084.5
2004-07-01,Other,128616816.19999999
2004-08-01,Other,165247262.9
2004-09-01,Other,76848033.47
2004-10-01,Other,161196315.8
2004-11-01,Other,120367763.0
2004-12-01,Other,132723702.6
2004-01-01,Free of Charge,98967957.0
2004-02-01,Free of Charge,98163870.0
2004-03-01,Free of Charge,99630698.0
2004-04-01,Free of Charge,98548250.0
2004-05-01,Free of Charge,98757508.0
2004-06-01,Free of Charge,97605021.0
2004-07-01,Free of Charge,99005148.0
2004-08-01,Free of Charge,99247854.0
2004-09-01,Free of Charge,98586316.0
2004-10-01,Free of Charge,99428133.0
2004-11-01,Free of Charge,97769025.0
2004-12-01,Free of Charge,98378394.0
2005-01-01,Residential,1758133105.0
2005-02-01,Residential,1925123518.0
2005-03-01,Residential,2128936722.9999998
2005-04-01,Residential,2354264762.0
2005-05-01,Residential,2495137168.0
2005-06-01,Residential,2281022882.0
2005-07-01,Residential,2188609927.0
2005-08-01,Residential,2143174426.0
2005-09-01,Residential,2138334431.0000002
2005-10-01,Residential,2176032976.0
2005-11-01,Residential,2036477091.0
2005-12-01,Residential,1856649265.0
2005-01-01,Business,1705357132.0
2005-02-01,Business,1784229513.0
2005-03-01,Business,1967735553.0
2005-04-01,Business,1990766664.0
2005-05-01,Business,2097190482.9999998
2005-06-01,Business,2048971697.0
2005-07-01,Business,1984433020.0
2005-08-01,Business,1995153528.0
2005-09-01,Business,1939011990.0
2005-10-01,Business,1947492273.0
2005-11-01,Business,1907353373.0
2005-12-01,Business,1777769481.0
